 radius  wavelength  VZA  VAA  HDRF ARF
    100  0.6500  0.8999990E+02  0.7200000E+02  0.4883310E+00  0.5030148E+00
    100  0.6500  0.8999990E+02  0.7300000E+02  0.4821121E+00  0.4966089E+00
    100  0.6500  0.8999990E+02  0.7400000E+02  0.4760865E+00  0.4904020E+00
    100  0.6500  0.8999990E+02  0.7500000E+02  0.4702512E+00  0.4843913E+00
    100  0.6500  0.8999990E+02  0.7600000E+02  0.4646005E+00  0.4785707E+00
    100  0.6500  0.8999990E+02  0.7700000E+02  0.4591274E+00  0.4729331E+00
    100  0.6500  0.8999990E+02  0.7800000E+02  0.4538238E+00  0.4674699E+00
    100  0.6500  0.8999990E+02  0.7900000E+02  0.4486795E+00  0.4621710E+00
    100  0.6500  0.8999990E+02  0.8000000E+02  0.4436863E+00  0.4570276E+00
    100  0.6500  0.8999990E+02  0.8100000E+02  0.4388351E+00  0.4520306E+00
    100  0.6500  0.8999990E+02  0.8200000E+02  0.4341190E+00  0.4471727E+00
    100  0.6500  0.8999990E+02  0.8300000E+02  0.4295336E+00  0.4424493E+00
    100  0.6500  0.8999990E+02  0.8400000E+02  0.4250748E+00  0.4378565E+00
    100  0.6500  0.8999990E+02  0.8500000E+02  0.4207416E+00  0.4333930E+00
    100  0.6500  0.8999990E+02  0.8600000E+02  0.4165326E+00  0.4290574E+00
    100  0.6500  0.8999990E+02  0.8700000E+02  0.4124472E+00  0.4248492E+00
    100  0.6500  0.8999990E+02  0.8800000E+02  0.4084825E+00  0.4207653E+00
    100  0.6500  0.8999990E+02  0.8900000E+02  0.4046364E+00  0.4168035E+00
    100  0.6500  0.8999990E+02  0.9000000E+02  0.4009034E+00  0.4129582E+00
    100  0.6500  0.8999990E+02  0.9100000E+02  0.3972783E+00  0.4092242E+00
    100  0.6500  0.8999990E+02  0.9200000E+02  0.3937548E+00  0.4055946E+00
    100  0.6500  0.8999990E+02  0.9300000E+02  0.3903270E+00  0.4020638E+00
    100  0.6500  0.8999990E+02  0.9400000E+02  0.3869892E+00  0.3986257E+00
    100  0.6500  0.8999990E+02  0.9500000E+02  0.3837380E+00  0.3952767E+00
    100  0.6500  0.8999990E+02  0.9600000E+02  0.3805705E+00  0.3920140E+00
    100  0.6500  0.8999990E+02  0.9700000E+02  0.3774856E+00  0.3888363E+00
    100  0.6500  0.8999990E+02  0.9800000E+02  0.3744831E+00  0.3857435E+00
    100  0.6500  0.8999990E+02  0.9900000E+02  0.3715636E+00  0.3827362E+00
    100  0.6500  0.8999990E+02  0.1000000E+03  0.3687264E+00  0.3798137E+00
    100  0.6500  0.8999990E+02  0.1010000E+03  0.3659709E+00  0.3769754E+00
    100  0.6500  0.8999990E+02  0.1020000E+03  0.3632946E+00  0.3742186E+00
    100  0.6500  0.8999990E+02  0.1030000E+03  0.3606946E+00  0.3715405E+00
    100  0.6500  0.8999990E+02  0.1040000E+03  0.3581665E+00  0.3689363E+00
    100  0.6500  0.8999990E+02  0.1050000E+03  0.3557054E+00  0.3664013E+00
    100  0.6500  0.8999990E+02  0.1060000E+03  0.3533075E+00  0.3639311E+00
    100  0.6500  0.8999990E+02  0.1070000E+03  0.3509688E+00  0.3615222E+00
    100  0.6500  0.8999990E+02  0.1080000E+03  0.3486872E+00  0.3591720E+00
    100  0.6500  0.8999990E+02  0.1090000E+03  0.3464616E+00  0.3568794E+00
    100  0.6500  0.8999990E+02  0.1100000E+03  0.3442922E+00  0.3546448E+00
    100  0.6500  0.8999990E+02  0.1110000E+03  0.3421797E+00  0.3524688E+00
    100  0.6500  0.8999990E+02  0.1120000E+03  0.3401254E+00  0.3503527E+00
    100  0.6500  0.8999990E+02  0.1130000E+03  0.3381293E+00  0.3482966E+00
    100  0.6500  0.8999990E+02  0.1140000E+03  0.3361915E+00  0.3463005E+00
    100  0.6500  0.8999990E+02  0.1150000E+03  0.3343104E+00  0.3443629E+00
    100  0.6500  0.8999990E+02  0.1160000E+03  0.3324829E+00  0.3424805E+00
    100  0.6500  0.8999990E+02  0.1170000E+03  0.3307061E+00  0.3406502E+00
    100  0.6500  0.8999990E+02  0.1180000E+03  0.3289758E+00  0.3388679E+00
    100  0.6500  0.8999990E+02  0.1190000E+03  0.3272884E+00  0.3371297E+00
    100  0.6500  0.8999990E+02  0.1200000E+03  0.3256412E+00  0.3354330E+00
    100  0.6500  0.8999990E+02  0.1210000E+03  0.3240328E+00  0.3337762E+00
    100  0.6500  0.8999990E+02  0.1220000E+03  0.3224627E+00  0.3321589E+00
    100  0.6500  0.8999990E+02  0.1230000E+03  0.3209316E+00  0.3305818E+00
    100  0.6500  0.8999990E+02  0.1240000E+03  0.3194415E+00  0.3290468E+00
    100  0.6500  0.8999990E+02  0.1250000E+03  0.3179936E+00  0.3275554E+00
    100  0.6500  0.8999990E+02  0.1260000E+03  0.3165897E+00  0.3261093E+00
    100  0.6500  0.8999990E+02  0.1270000E+03  0.3152299E+00  0.3247086E+00
    100  0.6500  0.8999990E+02  0.1280000E+03  0.3139138E+00  0.3233529E+00
    100  0.6500  0.8999990E+02  0.1290000E+03  0.3126388E+00  0.3220397E+00
    100  0.6500  0.8999990E+02  0.1300000E+03  0.3114028E+00  0.3207665E+00
    100  0.6500  0.8999990E+02  0.1310000E+03  0.3102015E+00  0.3195290E+00
    100  0.6500  0.8999990E+02  0.1320000E+03  0.3090317E+00  0.3183241E+00
    100  0.6500  0.8999990E+02  0.1330000E+03  0.3078902E+00  0.3171482E+00
    100  0.6500  0.8999990E+02  0.1340000E+03  0.3067754E+00  0.3159999E+00
